Atencion Level, Meditation Level, Blink, Life, Distance, Speed, Time played, Difficulty
0,0,0,3,7,5,9,easy
0,0,0,3,12,5,10,easy
0,0,0,3,17,5,11,easy
0,0,0,3,22,5,12,easy
0,0,0,3,27,5,13,easy
0,0,0,3,32,5,14,easy
0,0,0,3,37,5,15,easy
0,0,0,3,42,5,16,easy
0,0,0,3,47,5,17,easy
0,0,0,3,52,5,18,easy
0,0,0,3,57,5,19,easy
0,0,0,3,62,5,20,easy
0,0,0,3,67,5,21,easy
0,0,0,3,72,5,22,easy
0,0,0,3,77,5,23,easy
0,0,0,3,82,5,24,easy
0,0,0,3,87,5,25,easy
0,0,0,3,92,5,26,easy
0,0,0,3,97,5,27,easy
0,0,0,3,102,5,28,expert
0,0,0,3,107,5,29,expert
0,0,0,3,112,5,30,expert
0,0,0,3,117,5,31,expert
0,0,0,3,122,5,32,expert
0,0,0,3,127,5,33,expert
0,0,0,3,132,5,34,expert
0,0,0,3,137,5,35,expert
0,0,0,3,142,5,36,expert
0,0,0,3,147,5,37,expert
0,0,0,3,152,5,38,expert
0,0,0,3,157,5,39,expert
0,0,0,3,162,5,40,expert
0,0,0,3,167,5,41,expert
0,0,0,3,172,5,42,expert
0,0,0,3,177,5,43,expert
0,0,0,3,182,5,44,expert
0,0,0,3,187,5,45,expert
0,0,0,3,192,5,46,expert
0,0,0,3,197,5,47,expert
0,0,0,3,202,5,48,expert
0,0,0,3,207,5,49,expert
0,0,0,3,212,5,50,expert
0,0,0,3,217,5,51,expert
0,0,0,2,222,5,52,expert
0,0,0,2,227,5,53,expert
0,0,0,2,233,5,54,expert
0,0,0,2,238,5,55,expert
0,0,0,2,243,5,56,expert
0,0,0,2,248,5,57,expert
0,0,0,2,253,5,58,expert
0,0,0,2,258,5,59,expert
0,0,0,2,263,5,60,expert
0,0,0,2,268,5,61,expert
0,0,0,2,273,5,62,expert
0,0,0,2,278,5,63,expert
0,0,0,2,283,5,64,expert
0,0,0,2,288,5,65,expert
0,0,0,2,293,5,66,expert
0,0,0,2,298,5,67,expert
0,0,0,2,303,5,68,expert
0,0,0,2,308,5,69,expert
0,0,0,2,313,5,70,expert
0,0,0,2,318,5,71,expert
0,0,0,2,323,5,72,expert
0,0,0,2,328,5,73,expert
0,0,0,2,333,5,74,expert
0,0,0,2,338,5,75,expert
0,0,0,2,343,5,76,expert
0,0,0,2,348,5,77,expert
0,0,0,2,353,5,78,expert
0,0,0,2,358,5,79,expert
0,0,0,2,363,5,80,expert
0,0,0,2,368,5,81,expert
0,0,0,2,374,5,82,expert
0,0,0,2,379,5,83,expert
0,0,0,2,384,5,84,expert
0,0,0,2,389,5,85,expert
0,0,0,2,394,5,86,expert
0,0,0,2,399,5,87,expert
0,0,0,2,404,5,88,expert
0,0,0,2,409,5,89,expert
0,0,0,2,414,5,90,expert
0,0,0,2,419,5,91,expert
0,0,0,2,424,5,92,expert
0,0,0,2,429,5,93,expert
0,0,0,2,434,5,94,expert
0,0,0,3,439,5,95,expert
0,0,0,3,444,5,96,expert
0,0,0,3,449,5,97,expert
0,0,0,3,454,5,98,expert
0,0,0,3,459,5,99,expert
0,0,0,3,464,5,100,expert
0,0,0,3,469,5,101,expert
0,0,0,3,474,5,102,expert
0,0,0,3,479,5,103,expert
0,0,0,3,484,5,104,expert
0,0,0,3,489,5,105,expert
0,0,0,2,494,5,106,expert
0,0,0,2,500,5,107,expert
0,0,0,2,505,5,108,expert
0,0,0,2,510,5,109,expert
0,0,0,2,515,5,110,expert
0,0,0,2,520,5,111,expert
0,0,0,2,525,5,112,expert
0,0,0,2,530,5,113,expert
0,0,0,2,535,5,114,expert
0,0,0,2,540,5,115,expert
0,0,0,2,545,5,116,expert
0,0,0,2,550,5,117,expert
0,0,0,2,555,5,118,expert
0,0,0,2,560,5,119,expert
0,0,0,2,565,5,120,expert
0,0,0,2,570,5,121,expert
0,0,0,2,575,5,122,expert
0,0,0,2,581,5,123,expert
0,0,0,2,586,5,124,expert
0,0,0,2,591,5,125,expert
0,0,0,2,596,5,126,expert
0,0,0,1,601,5,127,expert
0,0,0,1,606,5,128,expert
0,0,0,1,611,5,129,expert
0,0,0,0,612,4,874842,130,expert
0,0,0,0,612,4,998652,131,expert
0,0,0,0,612,4,999982,132,expert
0,0,0,0,612,4,999998,134,expert
0,0,0,0,612,4,999998,135,expert
0,0,0,0,612,4,999998,135,expert
